Region,Category,Sub_Category,Revenue,Profit,Quantity,Orders,Average_Discount,Profit_Margin,AOV
Central,Office Supplies,Art,5765.34,1195.1591,678,165,0.12272727272727274,0.20730071426836927,34.94145454545455
West,Office Supplies,Labels,5078.726,2303.1223,480,112,0.018965517241379314,0.453484259635192,45.34576785714285
South,Office Supplies,Art,4655.622,1058.5866,547,130,0.10140845070422536,0.22737812477043884,35.81247692307693
Central,Office Supplies,Envelopes,4636.872,1777.5283,206,59,0.1288135593220339,0.38334642405483693,78.59105084745764
East,Office Supplies,Envelopes,4375.874,1812.4089999999999,267,73,0.08108108108108109,0.41418217252142087,59.94347945205479
West,Office Supplies,Envelopes,4118.099999999999,1908.7624,227,66,0.041791044776119404,0.46350559724144635,62.395454545454534
South,Office Supplies,Envelopes,3345.556,1465.4769999999999,206,51,0.07407407407407407,0.43803690627208147,65.59913725490196
East,Office Supplies,Labels,2602.934,1129.28,420,100,0.06728971962616823,0.43384887976414305,26.02934
Central,Office Supplies,Labels,2451.4719999999998,1073.0794,284,72,0.1131578947368421,0.4377285973488582,34.04822222222222
South,Office Supplies,Labels,2353.18,1040.7723,216,62,0.1076923076923077,0.4422833357414223,37.95451612903226
West,Office Supplies,Fasteners,923.216,275.1907,263,72,0.03333333333333334,0.2980783478622554,12.822444444444445
East,Office Supplies,Fasteners,819.718,263.9908,298,60,0.0918032786885246,0.32205075403980393,13.661966666666666
Central,Office Supplies,Fasteners,778.03,236.6186,227,54,0.13454545454545455,0.3041252907985553,14.407962962962962
South,Office Supplies,Fasteners,503.316,173.7181,126,29,0.08275862068965519,0.34514718387653087,17.355724137931034
